customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
b576d2eb12f49f84755d369dafc0875a,42d5872f486fdbc5128a0f55c0b6df89,488,Mysuru,KA
13f702e4e0db36131421bf460f57b0fd,73c59be8c4b40730342e5f6dd937c22c,449,Pune,MH
e597ef7b90f8bd2c2108eb696ee55b41,7b7ed56f428f1d4d5ab45cea583b924d,163,Bhubaneswar,OD
f6317986b4f9643c4e8d3a6618d96ee8,8cb1369d611afd228b52bf743752acd5,198,Visakhapatnam,AP
200d16151f1581c3c4470414d4901375,32a90aacfb375a4821f3cbf8db0660cd,553,Delhi,DL
ddda17ab9c9a96f46d6705402e36830d,a9e00267f80734f99645f52f376cfb54,534,Kozhikode,KL
889f37c00495c7e4529da790762a780f,d41539eef30e61f88fa7b8d21a89f230,523,Nashik,MH
10032c802b242164f94294738243d30d,cddef037fe7fbfa569a8520e75fbbdfd,226,Gurugram,HR
e6fc3d518d6ebcffde36b90b316e15ea,6e1d01f13776f1cecea0d9f7b6abcd3a,489,Delhi,DL
8ae27c846362b595daf0faee78a9c437,07029be17c8de04149bd061ff9a62e43,155,Pune,MH
490202fcade7da46edde5d5927461573,843357c62af767f1c0e6a79ce94ad33e,217,Chennai,TN
6652fe99d7b8a152221209cbfed37405,b8e3d1993326768293fd978447589259,481,Jodhpur,RJ
6c8ca6aacc6400a8be81d888729c099d,f2c68023c3267c5c78f8efe375f78068,569,Indore,MP
552868bfffe780e7b1e3e7373b1b137a,3a284f058fdd5458c86c03763dda9499,598,Faridabad,HR
cca3eb8fb5d83e58c7d64ef943caf282,7e8841a4d1b4eb6cab18a8244d22e670,841,Pune,MH
bddfb797ea87d7319051716a996923a0,45a6d80047d28881248cf87107842e5b,746,Bengaluru,KA
2408a86d00e020c51e54002350444927,2ca56ea919d12ac1170b8b433738e480,392,Jaipur,RJ
9105c856039081512e8cc1d0793428de,8d3a7d8226a95b820d393e674b69b835,693,Mumbai,MH
bf3dd27857876a819cda5b4b4c722688,c216e62bf0eae4073b7c590d6da72ccf,181,Faridabad,HR
8025dbb45cbeefb802510ef895c8f093,3030eb11bcdb00db140482e59d59c23d,748,Indore,MP
ba1a1f57ccfacf11d5241bb04b6fd0cd,d7ec6571b0132b5c51b6d364ec0fa75b,398,Nashik,MH
c68b6a8d87fb3eec5a172151a593a30d,06c5a957238a28af292aa5697bb1ee2f,676,Chennai,TN
36e515a25a390a1f3c9f881598a5b4b3,98b4fa60d1f58cfab4afe1fc5427d60f,833,Kozhikode,KL
94bd346fbbcdbe9ad9316abf50a2ec61,e9c6669394d348f96d4ba231f2b39b11,633,Raipur,CG
bfc06f9c0f330c8a562f7c9413ff0db4,93c84436669948514d6a46efcf6e2d40,795,Gurugram,HR
e8bd6061915e2581a7415597cd61e323,12f9fc5467647742664f3c64d3a8a2fe,117,Bengaluru,KA
776a2a369447e5164eb3b132cb0b5970,663e7415588a56756411299d8f3e981e,237,Pune,MH
7be307f0ec2c42eca93b4ac3b19dca8e,95f75f0b25b376fb5316ea44bd541f3e,576,Mumbai,MH
5fabd833794fb45bb9e42ac4aff7a0e8,fa76415964719212fe3d9e25a5b33006,512,Delhi,DL
54a566f6a0657d6319be937c7c6c5782,6f68ec888c4a9676d9042a4680d417eb,199,Kochi,KL
6750660e6fe6d21d788c930bf14ec6bc,13c3264e8a855704936683199f29a5b9,645,Ludhiana,PB
f1e56e39fa0d47b3a9161260069353cb,b9a982885201ab421414573fbf581438,153,Warangal,TG
045c931de8bc3f532df76e340b2fa16f,bc4f006c3f912bb4534b5ba34c9f74bf,848,Hyderabad,TG
2d22de8f4171182be153c0aaa3cae9f6,e5468f0aaf9f1b8f27a6b2c31e03c733,226,Chennai,TN
cad2140b402a0916ef4ec4f361bc25a6,f42531950c699d01caa0ebe8c83cbebc,441,Pune,MH
64bd6deba4bf8bb4d481a2b7e36a6128,df707d9fe3558099481c83ab70fd2b6c,723,Bengaluru,KA
ab51078355d2855d298b68d5b9570a0b,c39d86f7894ead364a2383cfe9210ec3,492,Delhi,DL
3c9da604f7e07d8e69f56ef82044b4fe,76df6ad6403126121072f371132588a4,664,Pune,MH
a18af297c6f00c6e6a4ade45c12d71fd,abab709ef0e03ab07e555fa2c6632739,634,Bengaluru,KA
f36de82e334f5020d09b228249e37764,ec91f1d3772ebb7b38767ff82ec92b85,816,Coimbatore,TN
bf2eed7e202de7e673551245761d6fe0,fb539a898c405e977ffbffde3041b4e6,455,Pune,MH
aaf73536cce5d6527ed52301586cb9ad,aef4af9528dce18b6383f30d54c83b11,839,Chandigarh,PB
fd17c4db9b64dbe2aaa8de2ae51452c4,705b8cbc2a145058e991cc6f3a07daa0,494,Visakhapatnam,AP
039e2e24e8d0e3a02e62d0b30a320f27,55a5cb381cb648555cdefd0a15bb97c4,775,Hyderabad,TG
ec8f4a1cf14db012172257b511e1579d,bca52d8204a49d3017af9998b1fb9b24,655,Chandigarh,PB
82a08d1ee7101280f4eeb9cb74f8ef3c,05fbdac700f5243b614534455e1b47e0,209,Noida,UP
45070b9b16f6f24adec6d14243d35f64,ff2636be8fbc51ae5566129a8ee82185,589,Kolkata,WB
f7b62a5a5e74da7e888c95340503e863,5614283183e7e24ca4cb71f6efc428eb,764,Hyderabad,TG
147d549f098c25633cd509a85faaa01d,c0e8f4b9b1d986e36df7ddcdb21b3f66,205,Kochi,KL
91be3d236a5597dd61213a769b85f19b,66a42bb76982b2c0c85c6b232553dfe9,734,Delhi,DL
e84063bde8f366255033e6f86908836c,3291377edaed375010cb5e79a7e22654,188,Bengaluru,KA
0c1dc4e3dde4ad6aa197d367364ac299,61151f5511f6b98bb12f65ff77b68a68,758,Mumbai,MH
81a0de3018e1de9b9a53bafb28472da5,b076f6365253f0c25353834b10437489,697,Gurugram,HR
c6d1ef1157c6a9b27dfa8c082869751a,cdfce440ca283c36fbd2824029323c5b,223,Coimbatore,TN
4745da489f610f4ee1a6e8001ce87004,808d9ff49152d6ab140a19b2d9ddad0d,651,Visakhapatnam,AP
603e0bcad96263743f5027332c21ef6d,6d20c9029b449857c4cb3be3f0df1e04,197,Gurugram,HR
e74964b185d9fcbbc4aec3491c2dc82a,9ffb20c43b5624d2ace02347cc28001e,533,Pune,MH
b68f97f5e89ea9a117eda2fbcd82834e,428c492747b0c3133facf8d7f1285ec9,798,Jaipur,RJ
bae97b1c3147c561cbe3ed530e2f23b8,c0e839acf7ebe9168da83ef37ad42baf,263,Delhi,DL
030454b710f95012aa5b7696919ec057,53a1f7d342bd3e61986f9f324fe55ad2,239,Delhi,DL
d031699d5bc22d6401889489ce583bb7,3c8b280dfe56cf2ea39656277a5b9c15,425,Coimbatore,TN
638a1b4b0b5f0033acfebbb46fa889f2,20f8188d29e9783a050b53f7d166a0ee,384,Pune,MH
2153aa71cc536dffed1a552f5118a4d1,f3941e2ba84541d40bad010a635b2949,146,Jaipur,RJ
df08fbfc5ff5b94c69e1d925402af3a9,7e7ceda877e5c33424eaf7133bca2628,449,Mysuru,KA
939d90de7c304915796306a446290cdf,e7b09ba852c9a0384b4cf63e87c27d34,303,Indore,MP
ca163208db1b1884a443b513011e2b2d,0626c1e1b74760e343ed10cee6cb1d05,202,Jaipur,RJ
b65e817c5792d153947bcb15fc79fdcc,042f234073b54fe1d033d28d47cf9a0a,315,Jaipur,RJ
2c59f533722ec7de78043f2dc0ef0b85,d31fc43f8c72abd31ab005e158c5fd6c,125,Hyderabad,TG
1ffb1ebac9b1f57a74eec66a002730c0,24dfce2644bec3136783af39f29a8bcc,791,Mumbai,MH
8ce80303c12981d332109db02d00cdc3,9bed9ad36108a641cd3032fa4a72c6e0,850,Pune,MH
8a86c46b6fe069627d4a6992283f55a4,0590cdfc26f593c0c17eaf92494f55fb,383,Bengaluru,KA
ba8bd9ec5ef07bdba9d2cb0df0c8d926,35424fb02b9ff5d4d7a2216783a5af3d,763,Kolkata,WB
7e7c55f200ed5c63ba788d943e937e0e,8a55ce92ce53c26867e0df590a5d56b2,453,Thiruvananthapuram,KL
d422c91a8a2eac684599a2b75547b4c5,178b569c0aa2e9507c1bd93d41a9e78b,789,Bengaluru,KA
a40e0ae5c074703225a5ab33c81db98a,df46c1530b71d63ce8b9db38cb25b7a9,238,Mumbai,MH
2210038cc0ae5d099a177a72c963cce5,f947526ab41796578ad77c1dde25200e,321,Hyderabad,TG
2022f529e3d3ebd1b5577e7248ae3f86,f0e1e5b17b0ac0f75871235375100ad8,661,Hyderabad,TG
e97040a4e174aeb4e2c432a3f13f9a1a,bd33fe99e561c04d2ee0179145172f21,273,Coimbatore,TN
47289b4b49a65fd8cb04470a34611bb7,db01775651c837bc843ee6d9ec027e38,723,Jaipur,RJ
8a133e85ed2eb61e95cb6d1ff7730efb,d3b726e9c509ff9a0b43b13ad1ba71c7,427,Gurugram,HR
a353f207218ec405764447048016e6a0,a6638be1ff91bd45f8fe111b4ff2dd48,410,Coimbatore,TN
0a3128edad22f82bcf4bb6cbf04421b8,16eaacc1fbd8c50fca92074aa091e151,447,Kolkata,WB
c29ad23aee240612fdc2e77c0707c314,07f94504a08df298b09758ce004de227,704,Noida,UP
9fee121d40e55e774614cfd0816777fe,127cf8e2e73bfdf360c4e3decc3cf0b8,114,Delhi,DL
3c3cbaa0aec4c9462c2b0b5442a5ce9c,5edeb2723ad932345fb4b9e9867ed687,669,Mumbai,MH
08b0572cb0e8c284f5a0d7c4962695d7,a1e0b673437835640f09dd3781e5e161,690,Mumbai,MH
4655230f2f02e14938033b41bed5108e,233458ccfb625b8fdd424165f7c2af1b,721,Patna,BR
a9ba702f0c105cf3a282c6eaf1572455,03a33a6a35cb1e37ab87d065cd725126,852,Pune,MH
9079376859e27c70dee5e90af64489e3,44b5a2f285e6892c8bc8c81fa754bca7,692,Delhi,DL
1ac784c725a51e5580fa248cf9d57361,d03703587ea904ff114f7267efe3aea6,503,Ahmedabad,GJ
e9906a3af2bada4d963b6a1bbe723dcf,34608bd53ad716fc23a342cf09c1b693,457,Delhi,DL
e4e49fa72ad72deec65cae013db28fa1,157c7dd0e7e98648cd08c4de8e5e4fdf,399,Visakhapatnam,AP
dd0c768f6a39a69fee845dfdf746d763,0f6e4362846f3311f19145afa5b7381a,726,Pune,MH
