return_id,order_id,product_id,return_reason,return_requested_date,return_resolved_date,return_status,resolution_type
11e839c312af87dec8bcfadf52651010,a244225b538ffdfdf27b512edbe7b95f,09169f259fa691c6cea8463cd35eab31,Wrong item,2023-11-16 14:13:21.914564,2023-11-21 17:28:21.996715,approved,Refund
307ddb22a176421ee3062cf5fa3e4fd0,c3943bd3a0faaa7986b6b2015800f419,434e7ef23200e2a8c16dac19586855c8,Damaged,2024-08-01 09:22:07.267712,2024-08-08 05:46:14.454373,approved,Replacement
d80bcce8e5abae79b9a7fc22f54848fc,8255493d124731ea9fcbce01a0e1dc18,da078c336263f42bf1ddd6796453fb0d,Size issue,2024-10-15 06:44:49.662625,2024-10-19 10:07:32.064067,approved,Replacement
2e9d5de1eb1fa77d441e6bda1370bcdb,24088d2a154040f96b9a01130165d284,bf76cb0637c59b28447c74792a8b0114,Late delivery,2024-01-09 02:56:33.968863,2024-01-15 11:14:41.864352,approved,Refund
2b02c3d7e7b8a8fba64571cdf019dce4,8cc6e528334d6d1b9e049609c4b1f149,5df2c97172d4b7094af8d8556ac3070b,Defective,2024-04-26 18:06:00.293384,2024-04-30 05:38:33.227253,approved,Store credit
6348a3fdff6c5d82f6902b3c951ed24f,98a1e83a72639d7423050abd0d84a09e,df67f96e25b3a9efddab89718692f1cb,Wrong item,2023-03-07 00:33:28.149141,2023-03-11 08:42:38.553826,approved,Replacement
1525e7b655f640b828edfbd87bfa4cce,84524d6b2a5978790d66afb4b65268b0,5a19862db160a9af57b36815a9b36bc1,Wrong item,2023-08-08 08:04:20.062637,2023-08-11 17:05:00.174102,approved,Store credit
d36ae715b9d984b742e649aec8464144,48f076cd235b102a35a0e968e72e0f92,e16d79d43f510a755f9e20322056069e,Size issue,2024-06-15 12:57:31.173157,2024-06-18 21:13:59.745247,approved,Store credit
701cd82b5f6bfe7158ac501225025ca6,c07a7380450f008609632b33accbabf8,fff5481322407040ae3598ef24bd7488,Size issue,2024-10-06 22:31:01.014330,2024-10-11 07:18:29.849199,approved,Refund
0d7700b8c1ee4e294c71a22aed149e67,cc3bc04f8bf504f6a3d5ace508f6d37d,949be55f2653876a46b9622580f27b95,Defective,2024-04-11 22:02:58.643063,2024-04-18 10:08:13.994822,approved,Refund
bf00613dd27e5dfff02ae5c1e01bfc68,084daa58d102ce44b11f36f965fc27eb,4568f664554b618126a6f44610af6c30,Size issue,2024-12-08 11:29:09.474171,2024-12-15 01:53:09.486678,approved,Refund
13fe7096e060ad54dcaf191c1faffa5f,7b6512e01b2872207476c768d322b2bc,fce52592ae1f4dee49ca0778045c8a41,Defective,2024-02-12 00:12:00.917435,2024-02-18 23:53:41.789192,approved,Refund
d69baa2132d05134ebffb19f8cc63ef1,652fe6b7ff3b4269720912deb7976e39,64f3d4760f94e5ace8e4b4b672f228e4,Defective,2025-01-18 06:29:48.705486,2025-01-24 18:23:14.884520,rejected,None
f1a24e181dda0107c11b6e6525297205,8848c59e0f7ec4c92d84e21cbe99f4f0,3804db80d24d8242769975bf239b4cd1,Size issue,2023-09-15 23:08:40.373054,2023-09-19 15:00:59.401123,approved,Replacement
d055e75783ad1c1c79148ef9c13cfede,9e31e3aa6834e1f40b2719fafc1ff9c3,bfd0dfc1f9843c38f9c09c494aadfcad,Defective,2024-05-30 18:50:37.145758,2024-06-04 03:00:36.627765,approved,Replacement
988ee8b98c7615cef8dcb9c972a1c9d5,f0e8725b1b16e2dd783402600922b76f,6b34c0d49a4754bb2a38f9c4bfdcefb5,Size issue,2023-09-22 23:27:45.442105,2023-09-28 20:54:30.985940,approved,Store credit
3dd42af11214dcd22f4ce9d0e09546c5,40924b82a0eff87d698e51ee97a7bdb8,2652fa18c946c2202e334333183199dd,Late delivery,2025-01-27 21:28:03.050655,2025-02-01 00:09:54.894727,approved,Replacement
9f4764ce811a1ee45919a9bb975cd2ff,3ada61b57e10a9418f46686ba0ec756b,2c59d76caee612d2cc8459afbefca0e3,Defective,2024-02-05 21:44:44.884167,2024-02-10 10:25:02.273126,approved,Store credit
8489192ef401e9a4264fd8b2e4766a19,9fd82b78408af89990891686eff55c96,8e544153fd67e971e90ca81f76485245,Size issue,2023-09-01 22:19:56.574003,2023-09-05 18:40:23.205608,approved,Refund
edb29d27ecce0663f73f96c0cb2e71e3,eed90265d01d250e5ac9153ff5ec089a,08a31d593172ca9b74392d62cff066b0,Defective,2023-06-18 02:47:26.269155,2023-06-24 01:03:47.643786,approved,Refund
9f6d3e7d37727a7ab1e4fc2215ed12f0,2c75854e75fd9fe19de75688ea3fc6f8,5c37f9fdf06ce6a33167038fd0fb2edb,Defective,2024-01-10 23:58:47.904342,2024-01-15 20:15:37.703868,rejected,None
4f13fd73393cc971e61fca6632466604,2febcbb46c53c85c695ff18e569556a3,335d2b053a126d5f2e5361d832e3d117,Size issue,2024-09-03 09:32:37.518884,2024-09-08 17:18:56.160022,approved,Refund
df20933f87d74818bf222ebd491daf9d,12b34bbb2c2272ee1d9b67db0d02f0ff,cef44f664112110dde51b7119bdf8501,Size issue,2024-05-23 06:25:54.549993,2024-05-28 12:16:00.698113,approved,Store credit
5deaa71c5ff7b6786ce3da23fac28aa1,c86faafb4523564d7691b6713cadce49,4231278aa0408679f701532c26200050,Size issue,2023-11-09 09:49:16.435858,,pending,Refund
8cd05640eecf5dc5bfcc6868670d8532,c887ab0aa8b236ef44a84d93e120ad2e,3ae8d6a7d14b8719893afc15e25a6f88,Defective,2023-11-30 06:29:47.249438,2023-12-06 21:04:36.574382,approved,Replacement
1b24357475d26aafe41277d63daed7aa,d9d166c9df7a19fea482f2083f1ce79b,48f4217517d32a712b0d9dd756da0fa6,Defective,2024-03-22 07:11:55.629507,2024-03-26 10:52:44.255897,approved,Refund
7c8bc85621b706763ccdee0c668109f4,388a7162f2d2662c9a571ca870b69dfe,538cf33174b8e6a884118aec04a97850,Defective,2024-04-12 21:54:53.876560,2024-04-18 03:23:08.943160,approved,Refund
3109ad666c092f4e17577bef08852c77,25e0dab9937871d8991ae6119c5f421f,5c0610ff815dcb326888a2eb39301679,Changed mind,2023-08-04 23:03:39.109454,2023-08-11 19:55:39.029602,rejected,None
a31266401ec715ef50a87d2abe837b17,6e806bf37e853dceb1109355571a91a5,b9014567c127bd1e02b0aeef2f0f1c0a,Defective,2023-12-22 13:16:38.121510,2023-12-26 00:10:27.672457,approved,Refund
1acfe7355ed82f7bb309f8272d8ba839,11281e93e6a87da3ad67510230e5d8bf,b400f492a142550321472748a3e222f9,Wrong item,2023-12-24 19:18:16.354864,2023-12-31 14:30:19.371998,approved,Refund
72f1aa1ab3623688feb3d88688c97529,19674b52d06a0f1e0c112162ac176d4c,558cc1096302498fe0fbec5db6223e8f,Defective,2024-05-30 11:43:32.483292,2024-06-04 14:28:11.922170,approved,Refund
9457b600e39bf049dcaeeb5c5bb3d4e3,0e9ef5b722b187c037ffd4827270a917,1b106a841a3903bc742de65e968fe343,Size issue,2024-07-12 19:10:45.148173,2024-07-17 21:49:12.315065,rejected,None
02375604a1fe2344c2c7136c2bd0fcd1,c2cf1855693888a586dc442aa6e23df6,9bc6d76340c993d732d56c058445ba8a,Late delivery,2023-12-18 03:26:03.718559,2023-12-21 21:49:03.646209,approved,Refund
0974118cf53b25e07abcd58215c38cff,6fc263bba338a2a1a253dddc4bd66b32,ce5a0581e2daab60df871b6b58290acd,Size issue,2024-12-21 19:24:15.004756,2024-12-24 20:20:28.428188,approved,Replacement
60c31ce8995c8ce02828e8c1686c5640,6a70caf0207ac4f0c670e45911984211,fc939ea6ea7fa4d14039628dbeb898bb,Wrong item,2024-12-04 08:27:45.935356,2024-12-08 04:09:14.659268,rejected,None
2f50a34a23c55ed974fe795714075329,d7ab925844f65ab4a4cbc26c0b325d82,4c1e9db1c9471eec859b45e06a9ec2a5,Wrong item,2023-12-27 15:00:03.874003,2024-01-02 16:31:02.013933,approved,Replacement
