payment_id,order_id,payment_method,payment_value,payment_installments,payment_status
b567a3ce0636c31da1072c337adc24df,e3a613296feb5257b1c9e5d30e68fa17,Debit Card,3194.71,1,approved
a979a420f70139a3ade2ecc6bedfe40d,c574ca9088bf6aae43c54c8474a3ca63,UPI,1374.63,1,approved
c55c2e2f3fdaf6b1a681f664a32f4c86,3f0bfaecfe5cfbce880025d32e65e418,Credit Card,2413.31,1,approved
31806c6445be91b8748e8bc9e3fdf650,71f823fe2b12678117a610b1e0baad60,COD,4560.52,1,failed
db7d6bcc938359d2c6f8d4440d4a8f83,3f356194535ed4b59150f189179d1292,COD,3946.7,1,approved
fd649e11dddff5f0d1714c3ac61b5ae4,a244225b538ffdfdf27b512edbe7b95f,Debit Card,10657.49,1,approved
f393551e2f834312f29c48847f7685f3,c3943bd3a0faaa7986b6b2015800f419,Credit Card,806.99,1,approved
02bd22e74bb1950af43078eedca35c97,47944ae3e7ffd9fd4eb131438358e535,UPI,3432.31,1,approved
68b5a132bc7b30f999e72878f0ed9a2c,8255493d124731ea9fcbce01a0e1dc18,UPI,15328.84,1,approved
df1fbec85a7de25f03839c5eec8ba8fe,bbca285ccbaa8efaea1ebc16e12f2655,EMI,75499.0,12,approved
09587a086af8fa028222b81cf43d0f14,d8263e2f3e5e1a54700c35b0c8d02633,Wallet,15063.16,1,approved
bf5059e66af656d3ee70f14916b6742a,6f035f1bc0341359694187b4ee68124b,UPI,18535.42,1,approved
67944fb000e5146052a748fa85239fc9,c1f4d41e269b10a0ea1067ab6ad58f68,NetBanking,1440.17,1,approved
69e44144f201bc72e6d1dfb24e86fe6d,5451c0522d464e31583da0a249c294b5,Credit Card,86242.73,1,refunded
6dc2ac10abcf45663bf0f2f5221b8379,5d38ce0ad94cce65618db19a127244bd,COD,957.07,1,approved
c1c8408c446b766a23253bc16e1abe65,16dd6104802d4b904d6df3bbcb9765df,EMI,41187.32,3,approved
92da322802f292f0fb786a504df216b4,ce3cfabeeadd4277c1069d8bab922732,EMI,40329.53,6,approved
306c3a380623a328bf28598d96574fe3,58da3abbac15dfa8791a2700988c564e,UPI,20227.34,1,approved
70b7cabba446b90a283a84039b95557c,24088d2a154040f96b9a01130165d284,UPI,1275.21,1,approved
